,Row,# inputs #,Unit_Name,Subunit_Src_Sheet,Subunit_Name,Description,# Instance Counts + Scaling Values #,Instance_Count,Scaling,SOFA_Voltage,Use_Voltage,GOT_GB,# User AVF Override #,User_SBU_SDC_AVF,User_SBU_DUE_AVF,User_MBU_SDC_AVF,User_MBU_DUE_AVF,# User FIT Override #,User_SBU_SDC,User_SBU_DUE,User_MBU_SDC,User_MBU_DUE,# Block Details (reported by source sheet) #,Latch_Bits,Flop_Bits,Domino_Bits,RF_Bits,Cache_Bits,SDL_Bits,Total_Bits,# Protections #,Protection_Type,FlopLatch_Protection,DFX_Fraction,PerfOnly_Fraction,Interleave_Level,# Total Bit Sumamry (All instances) #,RU_Latch_Bits,RU_Flop_Bits,RU_Domino_Bits,RU_RF_Bits,RU_Cache_Bits,RU_SDL_Bits,RU_Total_Bits,# Voltage / GOT Scaling #,Voltage_Scaling,GOT_Scaling,Total_Scaling,# Per Instance Raw FIT #,# Raw FIT #,# Intermediate Values #,Int_SBU_SDC,Int_SBU_DUE,Int_MBU_SDC,Int_MBU_DUE,Int_Scaled_Instances,SEQ_AVF,SBU_SDC_AVF,SBU_DUE_AVF,MBU_SDC_AVF,MBU_DUE_AVF,TDF,SEQ_AVF_Wt,SBU_SDC_AVF_Wt,SBU_DUE_AVF_Wt,MBU_SDC_AVF_Wt,MBU_DUE_AVF_Wt,TDF_Wt,# SBU Total #,SBU_SDC,SBU_DUE,# MBU Total #,MBU_SDC,MBU_DUE,# Grand Total #,Total_SDC,Total_DUE,end,Unnamed: 0,name,template,physical_parent,date,time,path,level,comment
0,0.0,,cpm_top,,,,,1.0,1.0,0.8,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,150,,,cpm_top,,,,5,
1,1.0,,cpm_top,F_parcpmaram,parcpmaram,# nan,,1.0,1.0,0.8,0.8,0.0,,,,,,,,,,,,811.0,18328.0,0.0,0.0,0.0,0.0,19139.0,,{'NONE'},{'NONE'},0.0,0.0,{1.0},,811.0,18328.0,0.0,0.0,0.0,0.0,19139.0,,1.0,1.0,1.0,,,,0.16914704730000005,0.0,0,0,1.0,0.11999999999999954,0.16999999999999996,1,1,1,0.5,2296.679999999991,0.028754998041000002,0.0,0,0,9569.5,,0.16914704730000005,0.0,,0.0,0.0,,0.16914704730000005,0.0,,151,parcpmaram,parcpmaram,cpm_top,2019-09-25,23:51:36.989678000,/p/hdk/archive/sdg74/noa/parcpmaram/fev_rtl2net_noa/SPRSPXCCA0_SC__VER_48/collateral/netlist/parcpmaram.vg.gz,5,No Subcell
2,2.0,,cpm_top,F_parcpmcast1,parcpmcast1,# nan,,1.0,1.0,0.8,0.8,0.0,,,,,,,,,,,,5278.0,113911.0,0.0,0.0,0.0,0.0,119189.0,,{'NONE'},{'NONE'},0.0,0.0,{1.0},,5278.0,113911.0,0.0,0.0,0.0,0.0,119189.0,,1.0,1.0,1.0,,,,1.165341698219999,0.0,0,0,1.0,0.12000000000000006,0.17000000000000026,1,1,1,0.5,14302.680000000008,0.19810808869740013,0.0,0,0,59594.5,,1.165341698219999,0.0,,0.0,0.0,,1.165341698219999,0.0,,152,parcpmcast1,parcpmcast1,cpm_top,2019-09-25,14:37:51.728416000,/p/hdk/archive/sdg74/noa/parcpmcast1/fev_rtl2net_noa/SPRSPXCCA0_SC__VER_42/collateral/netlist/parcpmcast1.vg.gz,5,No Subcell
3,3.0,,cpm_top,F_parcpmhi,parcpmhi,# nan,,1.0,1.0,0.8,0.8,0.0,,,,,,,,,,,,117067.0,123162.0,0.0,0.0,0.0,0.0,240229.0,,{'NONE'},{'NONE'},0.0,0.0,{1.0},,117067.0,123162.0,0.0,0.0,0.0,0.0,240229.0,,1.0,1.0,1.0,,,,1.5032181036599994,0.0,0,0,1.0,0.12000000000000009,0.1700000000000002,1,1,1,0.5,28827.48000000002,0.2555470776222002,0.0,0,0,120114.5,,1.5032181036599994,0.0,,0.0,0.0,,1.5032181036599994,0.0,,153,parcpmhi,parcpmhi,cpm_top,2019-09-25,07:25:32.328149000,/p/hdk/archive/sdg74/noa/cpm_top/fev_rtl2net_noa/SPRSPXCCA0_SC__VER_6/collateral/netlist/parcpmhi.vg.gz,5,No Subcell
4,4.0,,cpm_top,F_parcpmssma_xa,parcpmssma_xa,# nan,,1.0,1.0,0.8,0.8,0.0,,,,,,,,,,,,3228.0,66494.0,0.0,0.0,0.0,0.0,69722.0,,{'NONE'},{'NONE'},0.0,0.0,{1.0},,3228.0,66494.0,0.0,0.0,0.0,0.0,69722.0,,1.0,1.0,1.0,,,,0.7343177000459993,0.0,0,0,1.0,0.12000000000000106,0.17000000000000026,1,1,1,0.5,8366.640000000074,0.12483400900782007,0.0,0,0,34861.0,,0.7343177000459993,0.0,,0.0,0.0,,0.7343177000459993,0.0,,154,parcpmssma_xa,parcpmssma_xa,cpm_top,2019-09-26,09:38:31.584680000,/p/hdk/archive/sdg74/noa/parcpmssma_xa/fev_rtl2net_noa/SPRSPXCCA0_SC__VER_22/collateral/netlist/parcpmssma_xa.vg.gz,5,No Subcell
5,5.0,,cpm_top,F_parcpmssmb,parcpmssmb,,,1.0,1.0,0.8,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,155,parcpmssmb,parcpmssmb,cpm_top,2019-09-26,04:24:44.650963000,/p/hdk/archive/sdg74/noa/parcpmssmb/fev_rtl2net_noa/SPRSPXCCA0_SC__VER_49/collateral/netlist/parcpmssmb.vg.gz,5,No Subcell
6,6.0,,cpm_top,F_parcpmssmc_xa,parcpmssmc_xa,# nan,,1.0,1.0,0.8,0.8,0.0,,,,,,,,,,,,546.0,18601.0,0.0,0.0,0.0,0.0,19147.0,,{'NONE'},{'NONE'},0.0,0.0,{1.0},,546.0,18601.0,0.0,0.0,0.0,0.0,19147.0,,1.0,1.0,1.0,,,,0.23010101856000012,0.0,0,0,1.0,0.11999999999999952,0.16999999999999996,1,1,1,0.5,2297.639999999991,0.03911717315520001,0.0,0,0,9573.5,,0.23010101856000012,0.0,,0.0,0.0,,0.23010101856000012,0.0,,156,parcpmssmc_xa_0,parcpmssmc_xa,cpm_top,2019-09-26,00:43:29.280244000,/p/hdk/archive/sdg74/noa/parcpmssmc_xa/fev_rtl2net_noa/SPRSPXCCA0_SC__VER_42/collateral/netlist/parcpmssmc_xa.vg.gz,5,No Subcell
7,7.0,,cpm_top,F_parcpmssmc_xa,parcpmssmc_xa,# nan,,1.0,1.0,0.8,0.8,0.0,,,,,,,,,,,,546.0,18601.0,0.0,0.0,0.0,0.0,19147.0,,{'NONE'},{'NONE'},0.0,0.0,{1.0},,546.0,18601.0,0.0,0.0,0.0,0.0,19147.0,,1.0,1.0,1.0,,,,0.23010101856000012,0.0,0,0,1.0,0.11999999999999952,0.16999999999999996,1,1,1,0.5,2297.639999999991,0.03911717315520001,0.0,0,0,9573.5,,0.23010101856000012,0.0,,0.0,0.0,,0.23010101856000012,0.0,,157,parcpmssmc_xa_1,parcpmssmc_xa,cpm_top,2019-09-26,00:43:29.280244000,/p/hdk/archive/sdg74/noa/parcpmssmc_xa/fev_rtl2net_noa/SPRSPXCCA0_SC__VER_42/collateral/netlist/parcpmssmc_xa.vg.gz,5,No Subcell
8,8.0,,cpm_top,F_parcpmssmd_xa,parcpmssmd_xa,# nan,,1.0,1.0,0.8,0.8,0.0,,,,,,,,,,,,657.0,23590.0,0.0,0.0,0.0,0.0,24247.0,,{'NONE'},{'NONE'},0.0,0.0,{1.0},,657.0,23590.0,0.0,0.0,0.0,0.0,24247.0,,1.0,1.0,1.0,,,,0.2709394598400006,0.0,0,0,1.0,0.11999999999999968,0.1699999999999997,1,1,1,0.5,2909.639999999992,0.04605970817280003,0.0,0,0,12123.5,,0.2709394598400006,0.0,,0.0,0.0,,0.2709394598400006,0.0,,158,parcpmssmd_xa,parcpmssmd_xa,cpm_top,2019-09-26,14:29:56.695749000,/p/hdk/archive/sdg74/noa/parcpmssmd_xa/fev_rtl2net_noa/SPRSPXCCA0_SC__VER_40/collateral/netlist/parcpmssmd_xa.vg.gz,5,No Subcell
9,9.0,,cpm_top,F_parcpmssme_xa,parcpmssme_xa,# nan,,1.0,1.0,0.8,0.8,0.0,,,,,,,,,,,,1349.0,45798.0,0.0,0.0,0.0,0.0,47147.0,,{'NONE'},{'NONE'},0.0,0.0,{1.0},,1349.0,45798.0,0.0,0.0,0.0,0.0,47147.0,,1.0,1.0,1.0,,,,0.531301386588,0.0,0,0,1.0,0.11999999999999954,0.16999999999999998,1,1,1,0.5,5657.6399999999785,0.09032123571995998,0.0,0,0,23573.5,,0.531301386588,0.0,,0.0,0.0,,0.531301386588,0.0,,159,parcpmssme_xa,parcpmssme_xa,cpm_top,2019-09-26,01:20:52.591535000,/p/hdk/archive/sdg74/noa/parcpmssme_xa/fev_rtl2net_noa/SPRSPXCCA0_SC__VER_37/collateral/netlist/parcpmssme_xa.vg.gz,5,No Subcell
