,Row,# inputs #,Unit_Name,Subunit_Src_Sheet,Subunit_Name,Description,# Instance Counts + Scaling Values #,Instance_Count,Scaling,SOFA_Voltage,Use_Voltage,GOT_GB,# User AVF Override #,User_SBU_SDC_AVF,User_SBU_DUE_AVF,User_MBU_SDC_AVF,User_MBU_DUE_AVF,# User FIT Override #,User_SBU_SDC,User_SBU_DUE,User_MBU_SDC,User_MBU_DUE,# Block Details (reported by source sheet) #,Latch_Bits,Flop_Bits,Domino_Bits,RF_Bits,Cache_Bits,SDL_Bits,Total_Bits,# Protections #,Protection_Type,FlopLatch_Protection,DFX_Fraction,PerfOnly_Fraction,Interleave_Level,# Total Bit Sumamry (All instances) #,RU_Latch_Bits,RU_Flop_Bits,RU_Domino_Bits,RU_RF_Bits,RU_Cache_Bits,RU_SDL_Bits,RU_Total_Bits,# Voltage / GOT Scaling #,Voltage_Scaling,GOT_Scaling,Total_Scaling,# Per Instance Raw FIT #,# Raw FIT #,# Intermediate Values #,Int_SBU_SDC,Int_SBU_DUE,Int_MBU_SDC,Int_MBU_DUE,Int_Scaled_Instances,SEQ_AVF,SBU_SDC_AVF,SBU_DUE_AVF,MBU_SDC_AVF,MBU_DUE_AVF,TDF,SEQ_AVF_Wt,SBU_SDC_AVF_Wt,SBU_DUE_AVF_Wt,MBU_SDC_AVF_Wt,MBU_DUE_AVF_Wt,TDF_Wt,# SBU Total #,SBU_SDC,SBU_DUE,# MBU Total #,MBU_SDC,MBU_DUE,# Grand Total #,Total_SDC,Total_DUE,end,Comment,Unnamed: 6,Unnamed: 11,Unnamed: 16,Unnamed: 21
0,0,,SPR_hier,,,Rollup by hierarchy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,SPR_hier,P_subsystems,top,# Top Level Cells,,1.0,1.0,0.8,0.8,0.1,,,,,,,,,,,,13715.0,123578.0,0.0,0.0,0.0,0.0,137293.0,,"{nan, ""{'NONE'}""}","{nan, ""{'NONE'}""}",0.0,0.0,"{nan, '{1.0}'}",,13715.0,123578.0,0.0,0.0,0.0,0.0,137293.0,,1.0,1.1,1.1,,,,0.8075768083278001,0.0,0.0,0.0,1.1,1,1,1,1,1,0.5,137293.0,0.8075768083278001,0.0,0.0,0.0,68646.5,,0.8883344891605802,0.0,,0.0,0.0,,0.8883344891605802,0.0,,,,,,
2,2,,SPR_XCC,,,Sapphire Rapids XCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,,SPR_XCC,P_subsystems,top,# Top Level Cells,,1.0,1.0,0.8,0.8,0.1,,,,,,,,,,,,13715.0,123578.0,0.0,0.0,0.0,0.0,137293.0,,"{nan, ""{'NONE'}""}","{nan, ""{'NONE'}""}",0.0,0.0,"{nan, '{1.0}'}",,13715.0,123578.0,0.0,0.0,0.0,0.0,137293.0,,1.0,1.1,1.1,,,,0.8075768083278001,0.0,0.0,0.0,1.1,1,1,1,1,1,0.5,137293.0,0.8075768083278001,0.0,0.0,0.0,68646.5,,0.8883344891605802,0.0,,0.0,0.0,,0.8883344891605802,0.0,,,,,,
4,4,,SPR_XCC,P_subsystems,llchspr,# ,,64.0,1.0,0.8,0.8,0.1,,,,,,,,,,,,44454.0,99574.0,0.0,0.0,0.0,0.0,144028.0,,"{nan, ""{'NONE'}""}","{nan, ""{'NONE'}""}",0.0,0.0,"{nan, '{1.0}'}",,2845056.0,6372736.0,0.0,0.0,0.0,0.0,9217792.0,,1.0,1.1,1.1,,,,0.6675077760918007,0.0,0.0,0.0,70.4,1,1,1,1,1,0.5,144028.0,0.6675077760918007,0.0,0.0,0.0,72014.0,,46.99254743686277,0.0,,0.0,0.0,,46.99254743686277,0.0,,,,,,
5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
