,Row,# inputs #,Unit_Name,Subunit_Src_Sheet,Subunit_Name,Description,# Instance Counts + Scaling Values #,Instance_Count,Scaling,SOFA_Voltage,Use_Voltage,GOT_GB,# User AVF Override #,User_SBU_SDC_AVF,User_SBU_DUE_AVF,User_MBU_SDC_AVF,User_MBU_DUE_AVF,# User FIT Override #,User_SBU_SDC,User_SBU_DUE,User_MBU_SDC,User_MBU_DUE,# Block Details (reported by source sheet) #,Latch_Bits,Flop_Bits,Domino_Bits,RF_Bits,Cache_Bits,SDL_Bits,Total_Bits,# Protections #,Protection_Type,FlopLatch_Protection,DFX_Fraction,PerfOnly_Fraction,Interleave_Level,# Total Bit Sumamry (All instances) #,RU_Latch_Bits,RU_Flop_Bits,RU_Domino_Bits,RU_RF_Bits,RU_Cache_Bits,RU_SDL_Bits,RU_Total_Bits,# Voltage / GOT Scaling #,Voltage_Scaling,GOT_Scaling,Total_Scaling,# Per Instance Raw FIT #,# Raw FIT #,# Intermediate Values #,Int_SBU_SDC,Int_SBU_DUE,Int_MBU_SDC,Int_MBU_DUE,Int_Scaled_Instances,SEQ_AVF,SBU_SDC_AVF,SBU_DUE_AVF,MBU_SDC_AVF,MBU_DUE_AVF,TDF,SEQ_AVF_Wt,SBU_SDC_AVF_Wt,SBU_DUE_AVF_Wt,MBU_SDC_AVF_Wt,MBU_DUE_AVF_Wt,TDF_Wt,# SBU Total #,SBU_SDC,SBU_DUE,# MBU Total #,MBU_SDC,MBU_DUE,# Grand Total #,Total_SDC,Total_DUE,end,Comment,Unnamed: 14,Unnamed: 19
0,0.0,,top,,,Top Level Cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,,top,F_chtopaonv,chtopaonv,,,1.0,1.0,0.8,0.8,0.0,,,,,,,,,,,,0,0,0,0,0,0,0,,set(),set(),,,set(),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,,,,0,0,0,0,1.0,1,1,1,1,1,1,0,0,0,0,0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,
2,2.0,,top,F_chtopaonv230,chtopaonv230,,,1.0,1.0,0.8,0.8,0.0,,,,,,,,,,,,0,0,0,0,0,0,0,,set(),set(),,,set(),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,,,,0,0,0,0,1.0,1,1,1,1,1,1,0,0,0,0,0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,
3,3.0,,top,F_fivrnorthex,fivrnorthex,,,1.0,1.0,0.8,0.8,0.0,,,,,,,,,,,,0,0,0,0,0,0,0,,set(),set(),,,set(),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,,,,0,0,0,0,1.0,1,1,1,1,1,1,0,0,0,0,0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,
4,4.0,,top,F_hbmio_2dw_slice,hbmio_2dw_slice,,,1.0,1.0,0.8,0.8,0.0,,,,,,,,,,,,0,0,0,0,0,0,0,,set(),set(),,,set(),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,,,,0,0,0,0,1.0,1,1,1,1,1,1,0,0,0,0,0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,
5,5.0,,top,F_hbmio_4aw_slice,hbmio_4aw_slice,,,1.0,1.0,0.8,0.8,0.0,,,,,,,,,,,,0,0,0,0,0,0,0,,set(),set(),,,set(),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,,,,0,0,0,0,1.0,1,1,1,1,1,1,0,0,0,0,0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,
6,6.0,,top,F_pmsrvr_mspmas,pmsrvr_mspmas,,,1.0,1.0,0.8,0.8,0.0,,,,,,,,,,,,0,0,0,0,0,0,0,,set(),set(),,,set(),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,,,,0,0,0,0,1.0,1,1,1,1,1,1,0,0,0,0,0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,
7,7.0,,top,F_pmsrvr_pmax_top,pmsrvr_pmax_top,,,1.0,1.0,0.8,0.8,0.0,,,,,,,,,,,,0,0,0,0,0,0,0,,set(),set(),,,set(),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,,,,0,0,0,0,1.0,1,1,1,1,1,1,0,0,0,0,0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,
8,8.0,,top,F_pmsrvr_sapmas,pmsrvr_sapmas,,,1.0,1.0,0.8,0.8,0.0,,,,,,,,,,,,0,0,0,0,0,0,0,,set(),set(),,,set(),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,,,,0,0,0,0,1.0,1,1,1,1,1,1,0,0,0,0,0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,
9,9.0,,top,F_pmsrvr_upmas,pmsrvr_upmas,,,1.0,1.0,0.8,0.8,0.0,,,,,,,,,,,,0,0,0,0,0,0,0,,set(),set(),,,set(),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,,,,0,0,0,0,1.0,1,1,1,1,1,1,0,0,0,0,0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,
