Cluster,Block,FUB Name,Circuit Subtype,Instances,Design Style,Circuit Topology,Port Configuration,TDF,Logic TDF,Operating Voltage,Temperature,Altitude,Flop/Latch Protection
cha_chassisp,cha_chassisp,cha_chassisp,ec0fsw200xl1d03x5,2702,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_chassisp,cha_chassisp,cha_chassisp,ec0fsw200xl2d03x5,1566,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_chassisp,cha_chassisp,cha_chassisp,ec0fvn003xl1n02x5,1061,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_chassisp,cha_chassisp,cha_chassisp,ec0faw203xl1d02x5,1050,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_chassisp,cha_chassisp,cha_chassisp,ec0fyn043al1d06x5,1018,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_chassisp,cha_chassisp,cha_chassisp,ec0fvn003xl2n02x5,860,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_chassisp,cha_chassisp,cha_chassisp,ec0fvn203xl1d02x5,832,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_chassisp,cha_chassisp,cha_chassisp,ec0lsn080xl1n02x5,830,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_chassisp,cha_chassisp,cha_chassisp,ec0fvn203xl2d02x5,828,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_chassisp,cha_chassisp,cha_chassisp,ec0faw203xl1d03x5,796,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_chassisp,cha_chassisp,cha_chassisp,ec0fyn043al2d06x5,779,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_chassisp,cha_chassisp,cha_chassisp,ec0fkw043al2n03x5,778,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_chassisp,cha_chassisp,cha_chassisp,ec0lsn080xl2n02x5,736,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_chassisp,cha_chassisp,cha_chassisp,ec0fkw043al1n03x5,672,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_chassisp,cha_chassisp,cha_chassisp,ec0faw203xl2d02x5,521,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_chassisp,cha_chassisp,cha_chassisp,ec0faw203xl2d03x5,459,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_chassisp,cha_chassisp,cha_chassisp,ec0fmw203al1n04x5,430,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_chassisp,cha_chassisp,cha_chassisp,ec0fkn043al1n02x5,426,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_chassisp,cha_chassisp,cha_chassisp,ec0fkn043al2n02x5,368,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_chassisp,cha_chassisp,cha_chassisp,ec0fmw203al2n04x5,357,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_chassisp,cha_chassisp,cha_chassisp,ec0fyn00cal1d06x5,349,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_chassisp,cha_chassisp,cha_chassisp,ec0fsw200xl1d04x5,339,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_chassisp,cha_chassisp,cha_chassisp,ec0fsw000al1n05x5,331,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_chassisp,cha_chassisp,cha_chassisp,ec0fsw000al2n05x5,327,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_chassisp,cha_chassisp,cha_chassisp,ec0fkn200xl2d04x5,301,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_chassisp,cha_chassisp,cha_chassisp,ec0fkn200xl1d04x5,299,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_chassisp,cha_chassisp,cha_chassisp,ec0fdw003an1n05x5,291,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_chassisp,cha_chassisp,cha_chassisp,ec0fyn00cal2d06x5,278,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
