Cluster,Block,FUB Name,Circuit Subtype,Instances,Design Style,Circuit Topology,Port Configuration,TDF,Logic TDF,Operating Voltage,Temperature,Altitude,Flop/Latch Protection
cha_datap,cha_datap,cha_datap,ec0fsw200xl1d03x5,5123,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0fsw200xl2d03x5,3649,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0fsw200xn1d04x5,2143,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0fsw200xn2d04x5,1661,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0lmn012al2n16x5,1232,LATCH,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0lmn012al1n16x5,1102,LATCH,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0fsw000xl1n03x5,1022,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0fyn003al2n02x5,988,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0fsw200xl1d04x5,928,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0fyn003al1n02x5,787,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0lsn080xl2n02x5,758,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0fsw200xl2d04x5,734,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0lsn080xl1n02x5,720,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0fsw000xl2n03x5,685,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0lsw000xl2d02x5,554,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0lsw000xl1d02x5,518,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0fsw000xl1n04x5,445,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0lsn200xl2d04x5,415,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0lsn200xl1d04x5,388,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0fsw000xn1n04x5,385,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0lsw000xn2d03x5,332,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0fsw000xl2n04x5,320,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0lsw000xn2d02x5,317,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0lsw000xn1d02x5,316,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0lsw000xn1d03x5,309,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0fsw000xn2n04x5,306,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0lsw040xl1d04x5,305,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0lsn280xn1d03x5,292,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0lsw040xl2d04x5,254,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0lsn280xn2d03x5,230,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0fvn003xl1n02x5,210,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0fsw200xl1d02x5,204,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0lsw040xn1d04x5,203,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0lsn000xl1n04x5,192,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0lsw040xn2d04x5,179,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0lsn000xl2n04x5,167,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0lsw000xl1d06x5,160,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0lsn200xn1d02x5,160,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0lsw000xl1d16x5,152,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0lmn013al1n02x5,149,LATCH,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0fvn003xl2n02x5,145,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0fsw200xl2d02x5,144,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0lsn200xn2d02x5,142,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0lsn080xn2n02x5,141,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0lmn013al1n16x5,137,LATCH,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0fsw000an2n06x5,134,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0lmn013al2n02x5,133,LATCH,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0fsw000an1n06x5,132,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0fsw200an1d06x5,132,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0lsn080xn1n02x5,131,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0lsw000xl2d06x5,131,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0lmn013al2n16x5,124,LATCH,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0fsw200an2d06x5,121,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0lsn280xn1d04x5,119,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0lsw000xl2d16x5,117,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0fsw200an1d05x5,111,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0lsn280xn2d04x5,110,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0fsw000al1n06x5,108,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0lsn280xn2d02x5,107,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0fsw200an2d05x5,107,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0lsn280xn1d02x5,107,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0lsw000xn1d06x5,102,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0faw203xl1d03x5,96,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0lsw000xn2d06x5,95,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0fkn000xl2n04x5,84,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0faw203xl2d03x5,83,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0lsw040al1d02x5,83,LATCH,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0lsw040an1d04x5,80,LATCH,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0fsw000xl1n02x5,76,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0lsn280xl1d02x5,75,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0lsw040an2d04x5,75,LATCH,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0fkn000xl1n04x5,69,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0lsn280xl2d02x5,69,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0fsw000al2n06x5,68,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0fsw200an1d16x5,66,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0fkn200xl2d04x5,66,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0lsn080xn1n03x3,65,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0fsw000xl2n02x5,65,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0fsw200an2d16x5,63,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0lsw000xl2d03x5,61,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0lsn080xn2n03x3,61,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0fsw000an1n16x5,60,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0lsw040al2d02x5,59,LATCH,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0fsw000an2n16x5,58,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0fkn200xl1d04x5,57,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0lsw000xl1d03x5,54,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0lsn200xn1d04x5,54,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0lmn012al1n02x5,49,LATCH,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0lsw040xn1d12x5,49,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0lsw040xn2d12x5,47,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0fsw200an1d04x5,42,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0fsw000an1n04x5,41,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0lsn000xn1n04x5,40,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0fdw003an1n05x5,40,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0lmn012al2n02x5,39,LATCH,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0fyn003al2n04x5,37,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_datap,cha_datap,cha_datap,ec0fvn003xn1n02x5,35,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
