Cluster,Block,FUB Name,Circuit Subtype,Instances,Design Style,Circuit Topology,Port Configuration,TDF,Logic TDF,Operating Voltage,Temperature,Altitude,Flop/Latch Protection
cha_pldp,cha_pldp,cha_pldp,ec0lsw000xl2d02x5,4052,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0lsw000xl1d02x5,4004,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0fsw200xl1d03x5,3975,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0fsw000xl1n03x5,3517,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0fsw200xl2d03x5,3066,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0fsw200xn1d04x5,2968,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0fsw000xl2n03x5,2693,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0fsw200xn2d04x5,2446,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0fsw000xn1n04x5,1682,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0lsn080xl1n02x5,1673,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0fyn003al2n02x5,1601,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0lsn080xl2n02x5,1584,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0fsw000xn2n04x5,1405,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0fyn003al1n02x5,1326,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0fuy240xl2d03x5,995,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0fuy240xl1d03x5,987,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0faw203xl2d03x5,888,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0faw203xl1d03x5,883,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0lsw000xn2d03x5,763,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0lsw000xn1d03x5,743,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0lmn012an1n16x5,734,LATCH,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0lmn012an2n16x5,716,LATCH,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0lsw000xn1d06x5,676,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0fvn003xl1n02x5,616,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0lsw000xn2d06x5,612,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0lsn200xn2d04x5,604,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0lsn200xn1d04x5,595,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0lsn280xn2d04x5,539,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0lsn280xn1d04x5,520,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0fsw000an1n06x5,506,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0lsn000an2n24x5,495,LATCH,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0fsw000an2n06x5,492,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0fvn003xl2n02x5,469,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0lsn000an1n24x5,458,LATCH,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0fsw200xl1d04x5,426,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0lsn000xl1n04x5,412,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0fsw200xl2d04x5,363,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0lsn000xl2n04x5,335,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0fuy040xl1n03x5,326,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0lan00fal2n02x5,326,LATCH,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0fuy240xn1d04x5,323,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0fuy040xl2n03x5,307,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0fsw200an1d06x5,302,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0lsw040al2d02x5,296,LATCH,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0fsw200an2d06x5,296,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0lan00fal1n02x5,295,LATCH,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0lsw040al1d02x5,292,LATCH,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0fuy240xn2d04x5,290,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0faw003xn2n03x5,244,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0fsw000xl1n04x5,233,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0faw203xl1d02x5,233,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0fsw200xl1d02x5,226,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0lsn000an2n36x5,223,LATCH,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0faw003xn1n03x5,222,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0fsw000xl2n04x5,220,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0fsw200an1d05x5,220,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0fsw200an2d05x5,199,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0fsw200xl2d02x5,190,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0fsw200an2d08x5,189,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0lsw040xl1d04x5,181,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0faw203xl2d02x5,180,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0fsw200an1d08x5,178,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0lsn000an1n36x5,173,LATCH,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0fsw000an1n16x5,163,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0fsw000an2n16x5,159,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0fmw203al2n04x5,152,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0lsw000xn1d02x5,149,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0faw203xn1d03x5,147,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0lsw040xl2d04x5,146,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0fmw203al1n04x5,143,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
cha_pldp,cha_pldp,cha_pldp,ec0fsw000an1n08x5,141,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
