Cluster,Block,FUB Name,Circuit Subtype,Instances,Design Style,Circuit Topology,Port Configuration,TDF,Logic TDF,Operating Voltage,Temperature,Altitude,Flop/Latch Protection
chtopaonv,chtopaonv,chtopaonv,ec0faw203xl1d03x5,4681,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
chtopaonv,chtopaonv,chtopaonv,ec0faw203xl2d03x5,2412,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
chtopaonv,chtopaonv,chtopaonv,ec0fyn043al1d06x5,539,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
chtopaonv,chtopaonv,chtopaonv,ec0fyn043al2d06x5,522,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
chtopaonv,chtopaonv,chtopaonv,ec0fkn000xl2n04x5,504,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
chtopaonv,chtopaonv,chtopaonv,ec0fkn000xl1n04x5,479,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
chtopaonv,chtopaonv,chtopaonv,ec0fvn003xl1n04x5,436,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
chtopaonv,chtopaonv,chtopaonv,ec0lsn080xl1n02x5,373,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
chtopaonv,chtopaonv,chtopaonv,ec0faw003xl1n03x5,362,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
chtopaonv,chtopaonv,chtopaonv,ec0faw003xl2n03x5,357,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
chtopaonv,chtopaonv,chtopaonv,ec0lsn080xl2n02x5,340,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
chtopaonv,chtopaonv,chtopaonv,ec0fvn003xl2n04x5,335,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
chtopaonv,chtopaonv,chtopaonv,ec0fvy243xl2d03x5,241,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
chtopaonv,chtopaonv,chtopaonv,ec0fvy243xl1d03x5,195,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
