Cluster,Block,FUB Name,Circuit Subtype,Instances,Design Style,Circuit Topology,Port Configuration,TDF,Logic TDF,Operating Voltage,Temperature,Altitude,Flop/Latch Protection
fivrnorthex,fivrnorthex,fivrnorthex,ec0fsw200xl1d02x5,1382,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0fsw200xl2d02x5,840,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0faw203xl1d02x5,826,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0faw203xl2d02x5,456,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0fkn200xl1d02x5,401,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0fkn200xl2d02x5,396,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0fyn043al1d02x5,391,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0fvn003xl1n02x5,373,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0fvn003xl2n02x5,344,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0fyn043al2d02x5,264,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0fyn043al2d06x5,258,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0fyn043al1d06x5,230,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0fkn043al1n02x5,216,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0fkn040al1d02x5,210,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0fkn043al2n02x5,192,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0fkn040al2d02x5,158,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0fsw200xl1d04x5,150,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0fsw200xl1d03x5,136,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0fsw200xl2d04x5,136,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0lsn080xl1n02x5,130,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0fmw203al1n04x5,129,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0fvn203xl1d02x5,127,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0faw203xl1d03x5,122,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0fvn203xl2d02x5,115,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0fkn000xl2n02x5,113,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0fkn000xl1n02x5,97,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0fsw200xl2d03x5,96,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0lsn080xl2n02x5,96,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0fmw203al2n04x5,87,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0fsw000xl1n02x5,62,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0fyn08fal2d02x5,59,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0fyn00cal1d02x5,54,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0faw003al1n03x5,52,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0faw203xl2d03x5,52,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0fvn003xl2n04x5,47,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0fyn243al1d02x5,46,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0fsw000xl1n03x5,46,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0fun040xl2n04x5,46,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0fyn00cal2d02x5,43,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0lsn000xl1n02x5,40,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0fyn08fal1d02x5,39,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0faw003al2n03x5,38,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0fun040xl1n02x5,36,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0fkn200al1d02x5,35,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0fun040xl2n02x5,34,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0fun040xl1n04x5,34,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0fyn243al1d06x5,34,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0fvn003xl1n04x5,33,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0lsn000al2n02x3,32,LATCH,STD,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0fkn000al1n02x5,31,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0fkn200al2d02x5,30,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0lsn000xl2n02x5,30,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0lsn000al1n02x3,30,LATCH,STD,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0fkn080al2n02x5,30,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0fsw000xl2n02x5,28,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0fyn243al2d06x5,28,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0fvn243xl1d02x5,26,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0faw003an1n03x5,26,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0fkn000al2n02x5,25,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0fvn203xl2d04x5,25,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0fsw000xl2n03x5,24,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0fsw200al1d06x5,22,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0fvn203xl1d04x5,22,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0fyn08fal1d03x5,21,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0fyn243al2d02x5,20,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0fsw000al2n04x5,20,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0faw003xl1n03x5,20,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0fyn08fal2d03x5,19,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0fsw000al1n04x5,18,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0lan00fal2n02x5,17,LATCH,STD,N/A,0.5,1,0.8,110,0.9,NONE
fivrnorthex,fivrnorthex,fivrnorthex,ec0fkn200xl1d04x5,16,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
