Cluster,Block,FUB Name,Circuit Subtype,Instances,Design Style,Circuit Topology,Port Configuration,TDF,Logic TDF,Operating Voltage,Temperature,Altitude,Flop/Latch Protection
hbmio_2dw_slice,hbmio_2dw_slice,hbmio_2dw_slice,ec0fsw000xl1n02x5,1943,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
hbmio_2dw_slice,hbmio_2dw_slice,hbmio_2dw_slice,ec0fsw000xl2n02x5,1547,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
hbmio_2dw_slice,hbmio_2dw_slice,hbmio_2dw_slice,ec0fsw000xl1n04x5,880,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
hbmio_2dw_slice,hbmio_2dw_slice,hbmio_2dw_slice,ec0fsw000xl2n04x5,703,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
hbmio_2dw_slice,hbmio_2dw_slice,hbmio_2dw_slice,ec0lsn000xl1n04x5,614,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
hbmio_2dw_slice,hbmio_2dw_slice,hbmio_2dw_slice,ec0lsn000xl2n04x5,528,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
hbmio_2dw_slice,hbmio_2dw_slice,hbmio_2dw_slice,ec0fsw000zl2d02x5,427,FLOP,SEUT,N/A,0.5,1,0.8,110,0.9,NONE
hbmio_2dw_slice,hbmio_2dw_slice,hbmio_2dw_slice,ec0fsw000zl1d02x5,413,FLOP,SEUT,N/A,0.5,1,0.8,110,0.9,NONE
hbmio_2dw_slice,hbmio_2dw_slice,hbmio_2dw_slice,ec0fsw000xl1n03x5,335,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
hbmio_2dw_slice,hbmio_2dw_slice,hbmio_2dw_slice,ec0fsw000xl2n03x5,231,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
hbmio_2dw_slice,hbmio_2dw_slice,hbmio_2dw_slice,ec0lsn000xn1n04x5,201,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
hbmio_2dw_slice,hbmio_2dw_slice,hbmio_2dw_slice,ec0lsn000xn2n04x5,196,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
hbmio_2dw_slice,hbmio_2dw_slice,hbmio_2dw_slice,ec0fvn003xl1n02x5,164,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
hbmio_2dw_slice,hbmio_2dw_slice,hbmio_2dw_slice,ec0lsn000xl2n02x3,157,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
hbmio_2dw_slice,hbmio_2dw_slice,hbmio_2dw_slice,ec0fkn000xl2n02x5,152,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
hbmio_2dw_slice,hbmio_2dw_slice,hbmio_2dw_slice,ec0lsn000xl1n02x3,151,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
hbmio_2dw_slice,hbmio_2dw_slice,hbmio_2dw_slice,ec0fkn000xl2n04x5,141,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
hbmio_2dw_slice,hbmio_2dw_slice,hbmio_2dw_slice,ec0fvn003xl2n02x5,135,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
hbmio_2dw_slice,hbmio_2dw_slice,hbmio_2dw_slice,ec0fkn000xl1n04x5,134,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
hbmio_2dw_slice,hbmio_2dw_slice,hbmio_2dw_slice,ec0fkn000xl1n02x5,129,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
hbmio_2dw_slice,hbmio_2dw_slice,hbmio_2dw_slice,ec0lsn000xn1n02x3,101,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
hbmio_2dw_slice,hbmio_2dw_slice,hbmio_2dw_slice,ec0lsn000xn2n02x3,96,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
hbmio_2dw_slice,hbmio_2dw_slice,hbmio_2dw_slice,ec0fsw000al2n06x5,88,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
hbmio_2dw_slice,hbmio_2dw_slice,hbmio_2dw_slice,ec0fsw000zl1d04x5,84,FLOP,SEUT,N/A,0.5,1,0.8,110,0.9,NONE
hbmio_2dw_slice,hbmio_2dw_slice,hbmio_2dw_slice,ec0fyn003al2n02x5,83,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
hbmio_2dw_slice,hbmio_2dw_slice,hbmio_2dw_slice,ec0fsw000al1n06x5,78,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
