Cluster,Block,FUB Name,Circuit Subtype,Instances,Design Style,Circuit Topology,Port Configuration,TDF,Logic TDF,Operating Voltage,Temperature,Altitude,Flop/Latch Protection
hbmio_4aw_slice,hbmio_4aw_slice,hbmio_4aw_slice,ec0fsw200xl1d02x5,1091,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
hbmio_4aw_slice,hbmio_4aw_slice,hbmio_4aw_slice,ec0fsw200xl2d02x5,883,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
hbmio_4aw_slice,hbmio_4aw_slice,hbmio_4aw_slice,ec0fsw200zl1d02x5,623,FLOP,SEUT,N/A,0.5,1,0.8,110,0.9,NONE
hbmio_4aw_slice,hbmio_4aw_slice,hbmio_4aw_slice,ec0fsw200xl2d04x5,373,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
hbmio_4aw_slice,hbmio_4aw_slice,hbmio_4aw_slice,ec0fsw200xl1d04x5,359,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
hbmio_4aw_slice,hbmio_4aw_slice,hbmio_4aw_slice,ec0fsw200zl2d02x5,250,FLOP,SEUT,N/A,0.5,1,0.8,110,0.9,NONE
hbmio_4aw_slice,hbmio_4aw_slice,hbmio_4aw_slice,ec0fyn043al2d02x5,245,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
hbmio_4aw_slice,hbmio_4aw_slice,hbmio_4aw_slice,ec0fyn043al1d02x5,226,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
hbmio_4aw_slice,hbmio_4aw_slice,hbmio_4aw_slice,ec0fsw000xl1n02x5,189,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
hbmio_4aw_slice,hbmio_4aw_slice,hbmio_4aw_slice,ec0fsw200xn1d04x5,178,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
hbmio_4aw_slice,hbmio_4aw_slice,hbmio_4aw_slice,ec0fsw200an1d04x5,167,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
hbmio_4aw_slice,hbmio_4aw_slice,hbmio_4aw_slice,ec0fyn003al2n02x5,139,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
hbmio_4aw_slice,hbmio_4aw_slice,hbmio_4aw_slice,ec0fkw043al1n02x5,133,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
hbmio_4aw_slice,hbmio_4aw_slice,hbmio_4aw_slice,ec0fyn003al1n02x5,131,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
hbmio_4aw_slice,hbmio_4aw_slice,hbmio_4aw_slice,ec0fsw200xn2d04x5,124,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
hbmio_4aw_slice,hbmio_4aw_slice,hbmio_4aw_slice,ec0fsw000xl2n02x5,120,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
hbmio_4aw_slice,hbmio_4aw_slice,hbmio_4aw_slice,ec0lsn200xl1d04x5,119,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
hbmio_4aw_slice,hbmio_4aw_slice,hbmio_4aw_slice,ec0fkn043al1n02x5,118,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
hbmio_4aw_slice,hbmio_4aw_slice,hbmio_4aw_slice,ec0lsn200xl2d04x5,117,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
hbmio_4aw_slice,hbmio_4aw_slice,hbmio_4aw_slice,ec0fsw000xl2n04x5,110,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
hbmio_4aw_slice,hbmio_4aw_slice,hbmio_4aw_slice,ec0fkw043al2n02x5,107,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
hbmio_4aw_slice,hbmio_4aw_slice,hbmio_4aw_slice,ec0fsw200xl1d03x5,93,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
hbmio_4aw_slice,hbmio_4aw_slice,hbmio_4aw_slice,ec0fsw000xl1n04x5,92,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
hbmio_4aw_slice,hbmio_4aw_slice,hbmio_4aw_slice,ec0fsw200xl2d03x5,90,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
hbmio_4aw_slice,hbmio_4aw_slice,hbmio_4aw_slice,ec0fkn043al2n02x5,87,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
hbmio_4aw_slice,hbmio_4aw_slice,hbmio_4aw_slice,ec0fsw200an2d04x5,87,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
hbmio_4aw_slice,hbmio_4aw_slice,hbmio_4aw_slice,ec0lsn080xl1n02x5,80,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
