Cluster,Block,FUB Name,Circuit Subtype,Instances,Design Style,Circuit Topology,Port Configuration,TDF,Logic TDF,Operating Voltage,Temperature,Altitude,Flop/Latch Protection
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0fsw200xl1d03x5,1112,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0fsw200xl2d03x5,930,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0faw203xl1d02x5,630,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0fkn040al2d02x5,276,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0faw203xl2d02x5,240,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0fkn040al1d02x5,232,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0fyn043al1d02x5,224,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0fsw200xl1d04x5,200,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0fmw203al1n04x5,194,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0fsw200xl2d04x5,179,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0fyn043al2d02x5,143,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0fmw203al2n04x5,125,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0fkn200xl2d02x5,119,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0fkn200xl1d02x5,116,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0fkn043al1n02x5,90,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0lsn000al1n02x3,89,LATCH,STD,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0fsw200xl1d02x5,80,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0fsw200xl2d02x5,78,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0fkn043al2n02x5,72,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0faw203xl1d03x5,66,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0fsw000xl1n02x5,64,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0fsw000xl1n03x5,63,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0lsn000al2n02x3,58,LATCH,STD,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0fsw000xl2n02x5,52,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0fsw000xl2n03x5,52,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0fun040xl2n02x5,34,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0fsw200al1d06x5,34,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0fsw200al2d06x5,33,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0fkn000xl1n02x5,32,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0faw003al1n03x5,29,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0fkn000xl2n02x5,27,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0faw203xl2d03x5,27,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0fun040xl1n02x5,26,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0fkn043al1n03x5,23,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0fun040xl1n04x5,22,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0faw003al2n03x5,21,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0fun040xl2n04x5,21,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0fyn243al1d02x5,21,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0fsw000al2n06x5,19,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0fkn043al2n03x5,17,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0fsw000al1n04x5,16,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0fyn08fal1d03x5,16,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0fyn08fal2d03x5,16,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0fkn200xl2d04x5,15,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0fvy243xl1d02x5,15,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0fvn003xl1n02x5,14,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0fvn203xl1d02x5,14,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0fkn200al1d02x5,14,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0fkn200al2d02x5,13,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0fkn043an2n03x5,13,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0lsn000xl2n02x5,13,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0fyn00cal1d02x5,13,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0lsn080xl1n02x5,12,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0fkn043an1n03x5,12,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0fvn243xl1d02x5,12,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0lsn080xl1n03x5,11,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0fvn203xl2d02x5,11,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0fyn00cal2d02x5,11,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0fkn200xl1d04x5,11,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_mspmas,pmsrvr_mspmas,pmsrvr_mspmas,ec0lsn000xl1n02x5,10,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
