Cluster,Block,FUB Name,Circuit Subtype,Instances,Design Style,Circuit Topology,Port Configuration,TDF,Logic TDF,Operating Voltage,Temperature,Altitude,Flop/Latch Protection
pmsrvr_upmas,pmsrvr_upmas,pmsrvr_upmas,ec0fsw200xl1d02x5,691,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_upmas,pmsrvr_upmas,pmsrvr_upmas,ec0fsw200xl2d02x5,420,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_upmas,pmsrvr_upmas,pmsrvr_upmas,ec0faw203xl1d02x5,413,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_upmas,pmsrvr_upmas,pmsrvr_upmas,ec0faw203xl2d02x5,228,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_upmas,pmsrvr_upmas,pmsrvr_upmas,ec0fyn043al1d02x5,191,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_upmas,pmsrvr_upmas,pmsrvr_upmas,ec0fyn043al2d02x5,125,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_upmas,pmsrvr_upmas,pmsrvr_upmas,ec0fkn043al1n02x5,108,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_upmas,pmsrvr_upmas,pmsrvr_upmas,ec0fkn040al1d02x5,105,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_upmas,pmsrvr_upmas,pmsrvr_upmas,ec0fkn043al2n02x5,96,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_upmas,pmsrvr_upmas,pmsrvr_upmas,ec0fkn040al2d02x5,79,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_upmas,pmsrvr_upmas,pmsrvr_upmas,ec0fkn200xl1d02x5,78,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_upmas,pmsrvr_upmas,pmsrvr_upmas,ec0fsw200xl1d04x5,75,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_upmas,pmsrvr_upmas,pmsrvr_upmas,ec0fsw200xl1d03x5,68,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_upmas,pmsrvr_upmas,pmsrvr_upmas,ec0fkn200xl2d02x5,68,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_upmas,pmsrvr_upmas,pmsrvr_upmas,ec0fsw200xl2d04x5,68,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_upmas,pmsrvr_upmas,pmsrvr_upmas,ec0faw203xl1d03x5,61,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_upmas,pmsrvr_upmas,pmsrvr_upmas,ec0fmw203al1n04x5,60,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_upmas,pmsrvr_upmas,pmsrvr_upmas,ec0fsw200xl2d03x5,48,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_upmas,pmsrvr_upmas,pmsrvr_upmas,ec0fmw203al2n04x5,37,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_upmas,pmsrvr_upmas,pmsrvr_upmas,ec0fsw000xl1n02x5,31,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_upmas,pmsrvr_upmas,pmsrvr_upmas,ec0faw203xl2d03x5,26,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_upmas,pmsrvr_upmas,pmsrvr_upmas,ec0faw003al1n03x5,26,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_upmas,pmsrvr_upmas,pmsrvr_upmas,ec0fsw000xl1n03x5,23,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_upmas,pmsrvr_upmas,pmsrvr_upmas,ec0fun040xl2n04x5,23,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_upmas,pmsrvr_upmas,pmsrvr_upmas,ec0fkn000xl2n02x5,23,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
pmsrvr_upmas,pmsrvr_upmas,pmsrvr_upmas,ec0fyn243al1d02x5,23,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
