Cluster,Block,FUB Name,Circuit Subtype,Instances,Design Style,Circuit Topology,Port Configuration,TDF,Logic TDF,Operating Voltage,Temperature,Altitude,Flop/Latch Protection
mcfivr,mcfivr,mcfivr,ec0fyn003ac1n02x5,897,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
mcfivr,mcfivr,mcfivr,ec0fyn043ac1d06x5,638,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
mcfivr,mcfivr,mcfivr,ec0fkn000ac1n02x5,274,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
mcfivr,mcfivr,mcfivr,ec0fkn040ac1n02x5,270,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
mcfivr,mcfivr,mcfivr,ec0lsn000ac1n04x5,258,LATCH,STD,N/A,0.5,1,0.8,110,0.9,NONE
mcfivr,mcfivr,mcfivr,ec0fyn00cac1d06x5,188,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
mcfivr,mcfivr,mcfivr,ec0fyn08fac1d03x5,106,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
mcfivr,mcfivr,mcfivr,ec0fkn000ac1n04x5,70,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
mcfivr,mcfivr,mcfivr,ec0fsw000ac1n03x5,50,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
mcfivr,mcfivr,mcfivr,ec0fyn003ac1n04x5,40,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
mcfivr,mcfivr,mcfivr,ec0faw003ac1n02x5,30,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
mcfivr,mcfivr,mcfivr,ec0fkn043ac1n03x5,20,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
mcfivr,mcfivr,mcfivr,ec0fkn000ac1n03x5,20,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
mcfivr,mcfivr,mcfivr,ec0fyn00fac1d02x5,18,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
mcfivr,mcfivr,mcfivr,ec0fkn080ac1n12x5,15,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
mcfivr,mcfivr,mcfivr,ec0fkn000ac1n06x5,15,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
mcfivr,mcfivr,mcfivr,ec0fkn080ac1n03x5,13,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
mcfivr,mcfivr,mcfivr,ec0fmw203ab1n04x5,13,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
mcfivr,mcfivr,mcfivr,ec0fyn003ac1n06x5,12,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
mcfivr,mcfivr,mcfivr,ec0fkn080ac1n06x5,12,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
mcfivr,mcfivr,mcfivr,ec0fyn08fac1d02x5,8,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
mcfivr,mcfivr,mcfivr,ec0fyn08fac1d12x5,7,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
mcfivr,mcfivr,mcfivr,ec0lsn000ac1n02x5,5,LATCH,STD,N/A,0.5,1,0.8,110,0.9,NONE
mcfivr,mcfivr,mcfivr,ec0fyn043ac1d02x5,4,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
mcfivr,mcfivr,mcfivr,ec0fkn040ac1n04x5,3,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
mcfivr,mcfivr,mcfivr,ec0fyn003ac1n03x5,3,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
mcfivr,mcfivr,mcfivr,ec0fyn08fac1d06x5,2,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
mcfivr,mcfivr,mcfivr,ec0faw003ac1n03x5,2,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
