Cluster,Block,FUB Name,Circuit Subtype,Instances,Design Style,Circuit Topology,Port Configuration,TDF,Logic TDF,Operating Voltage,Temperature,Altitude,Flop/Latch Protection
ubox,ubox,ubox,ec0fsw200xl1d04x5,14430,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
ubox,ubox,ubox,ec0fsw200xl2d04x5,6177,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
ubox,ubox,ubox,ec0lsn200xl1d02x5,1730,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
ubox,ubox,ubox,ec0faw203xl1d03x5,1611,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
ubox,ubox,ubox,ec0lsn200xl2d02x5,1124,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
ubox,ubox,ubox,ec0fdw003al1n05x5,917,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
ubox,ubox,ubox,ec0fsw200xl1d02x5,898,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
ubox,ubox,ubox,ec0fsw000xl1n04x5,860,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
ubox,ubox,ubox,ec0faw203xl2d03x5,859,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
ubox,ubox,ubox,ec0fvn003xl1n02x5,840,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
ubox,ubox,ubox,ec0fdw003al2n05x5,799,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
ubox,ubox,ubox,ec0lsn003al1n02x5,706,LATCH,STD,N/A,0.5,1,0.8,110,0.9,NONE
ubox,ubox,ubox,ec0fyn043al1d02x5,688,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
ubox,ubox,ubox,ec0fsw000xl2n04x5,617,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
ubox,ubox,ubox,ec0fsw200xl1d03x5,613,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
ubox,ubox,ubox,ec0lsn003al2n02x5,584,LATCH,STD,N/A,0.5,1,0.8,110,0.9,NONE
ubox,ubox,ubox,ec0fvn003xl2n02x5,545,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
ubox,ubox,ubox,ec0fkn000xl1n02x5,465,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
ubox,ubox,ubox,ec0fkn000xl2n02x5,423,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
ubox,ubox,ubox,ec0fyn043al2d02x5,364,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
ubox,ubox,ubox,ec0fsw200xl2d02x5,336,FLOP,RTS,N/A,0.5,1,0.8,110,0.9,NONE
ubox,ubox,ubox,ec0fyn003al2n02x5,329,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
ubox,ubox,ubox,ec0fsw200an1d24x5,318,FLOP,STD,N/A,0.5,1,0.8,110,0.9,NONE
ubox,ubox,ubox,ec0lsn080xl1n02x5,307,LATCH,RTS,N/A,0.5,1,0.8,110,0.9,NONE
